@relation ThresholdCurve

@attribute Instance_number numeric
@attribute 'True Positives' numeric
@attribute 'False Negatives' numeric
@attribute 'False Positives' numeric
@attribute 'True Negatives' numeric
@attribute 'False Positive Rate' numeric
@attribute 'True Positive Rate' numeric
@attribute Precision numeric
@attribute Recall numeric
@attribute Fallout numeric
@attribute FMeasure numeric
@attribute 'Sample Size' numeric
@attribute Lift numeric
@attribute Threshold numeric

@data
207,188,51,5,438,0.011287,0.786611,0.974093,0.786611,0.025907,0.87037,0.282991,2.77963,0.997276
208,187,52,5,438,0.011287,0.782427,0.973958,0.782427,0.026042,0.867749,0.281525,2.779245,0.997318
209,186,53,5,438,0.011287,0.778243,0.973822,0.778243,0.026178,0.865116,0.280059,2.778856,0.997452
210,185,54,5,438,0.011287,0.774059,0.973684,0.774059,0.026316,0.862471,0.278592,2.778463,0.99764
211,184,55,5,438,0.011287,0.769874,0.973545,0.769874,0.026455,0.859813,0.277126,2.778066,0.997688
212,184,55,4,439,0.009029,0.769874,0.978723,0.769874,0.021277,0.861827,0.27566,2.792843,0.997841
213,183,56,4,439,0.009029,0.76569,0.97861,0.76569,0.02139,0.859155,0.274194,2.792518,0.997882
214,182,57,4,439,0.009029,0.761506,0.978495,0.761506,0.021505,0.856471,0.272727,2.79219,0.998004
215,181,58,4,439,0.009029,0.757322,0.978378,0.757322,0.021622,0.853774,0.271261,2.791858,0.998122
216,180,59,4,439,0.009029,0.753138,0.978261,0.753138,0.021739,0.851064,0.269795,2.791523,0.998233
217,179,60,4,439,0.009029,0.748954,0.978142,0.748954,0.021858,0.848341,0.268328,2.791184,0.99824
218,178,61,4,439,0.009029,0.74477,0.978022,0.74477,0.021978,0.845606,0.266862,2.790841,0.998307
219,177,62,4,439,0.009029,0.740586,0.977901,0.740586,0.022099,0.842857,0.265396,2.790494,0.998333
220,175,64,4,439,0.009029,0.732218,0.977654,0.732218,0.022346,0.837321,0.262463,2.78979,0.998405
221,174,65,4,439,0.009029,0.728033,0.977528,0.728033,0.022472,0.834532,0.260997,2.789432,0.998484
